"";"CODMUNRES";"ANO";"NIVEL";"TO";"TORC";"TORCR";"TO_N";"TO_NN";"TO_CB_C";"TO_CB_N";"TO_CB_O";"TO_CB_R";"TO_CB_I";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_T";"TO_NT_P";"TO_PNT";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A"
"1";430003;2015;"MUNICIPIO";33;0;0;33;0;12;3;17;1;0;21;12;NA;NA;NA;NA;NA;33;NA;NA;NA;NA;NA;NA
"2";430005;2015;"MUNICIPIO";18;0;0;18;0;6;3;5;3;1;12;6;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"3";430010;2015;"MUNICIPIO";146;0;0;144;2;65;16;57;7;1;84;62;7;NA;2;2;0;144;NA;2;0;0;0;0
"4";430020;2015;"MUNICIPIO";65;0;0;64;1;28;3;24;10;0;32;33;3;NA;1;1;0;64;NA;1;0;0;0;0
"5";430030;2015;"MUNICIPIO";58;0;0;57;1;20;7;24;7;0;27;31;3;NA;NA;NA;NA;58;NA;NA;NA;NA;NA;NA
"6";430040;2015;"MUNICIPIO";748;0;0;739;9;247;88;307;95;11;389;359;29;NA;6;6;0;742;NA;5;1;0;0;0
"7";430045;2015;"MUNICIPIO";23;0;0;23;0;8;7;6;2;0;13;10;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA
"8";430047;2015;"MUNICIPIO";16;0;0;15;1;5;0;10;1;0;7;9;2;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;NA
"9";430050;2015;"MUNICIPIO";56;0;0;55;1;16;2;29;8;1;36;20;1;NA;NA;NA;NA;56;NA;NA;NA;NA;NA;NA
"10";430055;2015;"MUNICIPIO";7;0;0;6;1;3;0;3;1;0;3;4;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA
"11";430057;2015;"MUNICIPIO";18;0;0;18;0;7;1;8;2;0;11;7;NA;NA;1;1;0;17;NA;1;0;0;0;0
"12";430060;2015;"MUNICIPIO";1556;0;0;1495;61;451;130;761;160;54;847;709;99;2;27;27;0;1525;2;14;9;4;0;0
"13";430063;2015;"MUNICIPIO";42;0;0;41;1;9;8;20;5;0;24;18;2;NA;NA;NA;NA;42;NA;NA;NA;NA;NA;NA
"14";430064;2015;"MUNICIPIO";50;0;0;50;0;14;1;22;12;1;32;18;1;NA;NA;NA;NA;50;NA;NA;NA;NA;NA;NA
"15";430066;2015;"MUNICIPIO";9;0;0;8;1;0;1;5;3;0;5;4;1;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;NA
"16";430070;2015;"MUNICIPIO";42;0;0;38;4;11;2;23;6;0;24;18;1;NA;NA;NA;NA;42;NA;NA;NA;NA;NA;NA
"17";430080;2015;"MUNICIPIO";90;0;0;86;4;31;11;32;14;2;48;42;5;NA;NA;NA;NA;90;NA;NA;NA;NA;NA;NA
"18";430085;2015;"MUNICIPIO";22;0;0;22;0;8;0;11;2;1;14;8;NA;NA;NA;NA;NA;22;NA;NA;NA;NA;NA;NA
"19";430087;2015;"MUNICIPIO";42;0;0;42;0;10;6;20;5;1;22;20;2;NA;NA;NA;NA;42;NA;NA;NA;NA;NA;NA
"20";430090;2015;"MUNICIPIO";40;0;0;39;1;11;3;21;4;1;22;18;NA;NA;NA;NA;NA;40;NA;NA;NA;NA;NA;NA
"21";430100;2015;"MUNICIPIO";177;0;0;169;8;55;20;85;16;1;94;83;9;NA;1;1;0;175;NA;1;0;0;0;0
"22";430105;2015;"MUNICIPIO";54;0;0;53;1;18;3;23;9;1;33;21;2;NA;NA;NA;NA;54;NA;NA;NA;NA;NA;NA
"23";430107;2015;"MUNICIPIO";22;0;0;21;1;9;3;7;3;0;15;7;1;NA;NA;NA;NA;22;NA;NA;NA;NA;NA;NA
"24";430110;2015;"MUNICIPIO";115;0;0;110;5;36;6;63;6;4;68;47;4;NA;2;2;0;113;NA;2;0;0;0;0
"25";430120;2015;"MUNICIPIO";107;0;0;104;3;31;11;48;15;2;57;50;5;NA;1;1;0;106;NA;1;0;0;0;0
"26";430130;2015;"MUNICIPIO";178;0;0;176;2;49;21;76;28;4;104;74;2;NA;5;4;1;173;NA;5;0;0;0;0
"27";430140;2015;"MUNICIPIO";69;0;0;68;1;19;8;36;6;0;43;26;2;NA;3;3;0;66;NA;3;0;0;0;0
"28";430150;2015;"MUNICIPIO";75;0;0;75;0;22;8;33;9;3;37;38;2;NA;1;1;0;74;NA;1;0;0;0;0
"29";430155;2015;"MUNICIPIO";40;0;0;38;2;8;2;20;8;2;18;22;NA;NA;NA;NA;NA;40;NA;NA;NA;NA;NA;NA
"30";430160;2015;"MUNICIPIO";1054;0;0;1043;11;317;133;459;121;24;538;516;39;NA;20;19;1;1034;NA;16;1;3;0;0
"31";430163;2015;"MUNICIPIO";135;0;0;131;4;45;4;71;10;5;80;55;5;NA;1;1;0;134;NA;1;0;0;0;0
"32";430165;2015;"MUNICIPIO";29;0;0;29;0;12;3;9;5;0;17;12;NA;NA;2;2;0;27;NA;2;0;0;0;0
"33";430170;2015;"MUNICIPIO";47;0;0;46;1;13;5;20;8;1;27;20;2;NA;NA;NA;NA;47;NA;NA;NA;NA;NA;NA
"34";430175;2015;"MUNICIPIO";47;0;0;46;1;17;2;16;10;2;31;16;3;NA;2;2;0;45;NA;2;0;0;0;0
"35";430180;2015;"MUNICIPIO";35;0;0;33;2;12;3;14;6;0;24;11;NA;NA;NA;NA;NA;35;NA;NA;NA;NA;NA;NA
"36";430185;2015;"MUNICIPIO";25;0;0;25;0;4;3;14;4;0;14;11;2;NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA
"37";430187;2015;"MUNICIPIO";12;0;0;12;0;2;1;7;2;0;6;6;3;NA;NA;NA;NA;12;NA;NA;NA;NA;NA;NA
"38";430190;2015;"MUNICIPIO";84;0;0;82;2;25;13;35;10;1;48;36;3;NA;NA;NA;NA;84;NA;NA;NA;NA;NA;NA
"39";430192;2015;"MUNICIPIO";16;0;0;15;1;4;3;5;2;2;6;10;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;NA
"40";430195;2015;"MUNICIPIO";5;0;0;5;0;2;0;1;1;1;2;3;1;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA
"41";430200;2015;"MUNICIPIO";79;0;0;78;1;23;8;33;15;0;53;26;2;NA;NA;NA;NA;79;NA;NA;NA;NA;NA;NA
"42";430205;2015;"MUNICIPIO";10;0;0;9;1;6;0;4;0;0;7;3;NA;NA;NA;NA;NA;10;NA;NA;NA;NA;NA;NA
"43";430210;2015;"MUNICIPIO";659;0;0;642;17;163;75;325;88;8;360;299;29;NA;15;15;0;644;NA;15;0;0;0;0
"44";430215;2015;"MUNICIPIO";20;0;0;20;0;7;2;10;1;0;11;9;1;NA;1;1;0;19;NA;1;0;0;0;0
"45";430220;2015;"MUNICIPIO";51;0;0;50;1;17;8;19;6;1;29;22;NA;NA;NA;NA;NA;51;NA;NA;NA;NA;NA;NA
"46";430222;2015;"MUNICIPIO";11;0;0;10;1;5;1;5;0;0;8;3;NA;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;NA
"47";430223;2015;"MUNICIPIO";19;0;0;19;0;6;1;10;2;0;12;7;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA
"48";430225;2015;"MUNICIPIO";27;0;0;27;0;8;5;13;1;0;17;10;NA;NA;NA;NA;NA;27;NA;NA;NA;NA;NA;NA
"49";430230;2015;"MUNICIPIO";36;0;0;36;0;13;2;18;3;0;17;19;5;NA;2;2;0;34;NA;2;0;0;0;0
"50";430235;2015;"MUNICIPIO";79;0;0;75;4;19;9;39;11;1;49;30;4;NA;2;2;0;77;NA;2;0;0;0;0
"51";430237;2015;"MUNICIPIO";15;0;0;15;0;5;2;5;3;0;8;7;2;NA;NA;NA;NA;15;NA;NA;NA;NA;NA;NA
"52";430240;2015;"MUNICIPIO";89;0;0;86;3;35;7;27;19;1;40;49;3;NA;2;2;0;87;NA;2;0;0;0;0
"53";430245;2015;"MUNICIPIO";60;0;0;58;2;18;3;34;4;1;34;26;2;NA;1;1;0;59;NA;1;0;0;0;0
"54";430250;2015;"MUNICIPIO";46;0;0;46;0;9;10;20;7;0;28;18;1;NA;1;1;0;45;NA;1;0;0;0;0
"55";430258;2015;"MUNICIPIO";17;0;0;16;1;2;3;9;3;0;5;12;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA
"56";430260;2015;"MUNICIPIO";18;0;0;18;0;5;2;8;3;0;12;6;1;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"57";430265;2015;"MUNICIPIO";41;0;0;41;0;19;2;12;7;1;18;23;2;NA;NA;NA;NA;41;NA;NA;NA;NA;NA;NA
"58";430270;2015;"MUNICIPIO";167;0;0;160;7;43;18;75;28;3;91;75;6;NA;2;2;0;165;NA;1;0;1;0;0
"59";430280;2015;"MUNICIPIO";347;0;0;341;6;119;39;152;31;6;192;154;11;NA;7;7;0;340;NA;6;1;0;0;0
"60";430290;2015;"MUNICIPIO";98;0;0;96;2;30;15;42;6;5;60;38;4;NA;2;2;0;96;NA;2;0;0;0;0
"61";430300;2015;"MUNICIPIO";937;0;0;922;15;292;91;405;142;7;481;456;34;NA;7;7;0;930;NA;6;0;0;1;0
"62";430310;2015;"MUNICIPIO";783;0;0;757;26;188;80;365;127;23;437;346;35;1;10;10;0;771;1;9;0;1;0;0
"63";430320;2015;"MUNICIPIO";49;0;0;45;4;17;5;25;2;0;27;22;1;NA;2;2;0;47;NA;1;0;0;1;0
"64";430330;2015;"MUNICIPIO";33;0;0;33;0;15;5;8;5;0;14;19;2;NA;1;1;0;32;NA;1;0;0;0;0
"65";430340;2015;"MUNICIPIO";32;0;0;32;0;7;6;15;4;0;20;12;1;NA;NA;NA;NA;32;NA;NA;NA;NA;NA;NA
"66";430350;2015;"MUNICIPIO";442;0;0;436;6;101;50;198;84;9;239;203;18;1;3;3;0;439;1;3;0;0;0;0
"67";430355;2015;"MUNICIPIO";15;0;0;15;0;6;1;5;3;0;7;8;NA;NA;1;1;0;14;NA;1;0;0;0;0
"68";430360;2015;"MUNICIPIO";30;0;0;30;0;7;4;17;2;0;17;13;2;NA;NA;NA;NA;30;NA;NA;NA;NA;NA;NA
"69";430367;2015;"MUNICIPIO";21;0;0;21;0;7;4;9;1;0;13;8;1;NA;NA;NA;NA;21;NA;NA;NA;NA;NA;NA
"70";430370;2015;"MUNICIPIO";55;0;0;53;2;19;3;26;6;1;32;23;NA;NA;1;1;0;54;NA;1;0;0;0;0
"71";430380;2015;"MUNICIPIO";41;0;0;40;1;8;8;16;8;1;22;19;1;NA;NA;NA;NA;41;NA;NA;NA;NA;NA;NA
"72";430390;2015;"MUNICIPIO";371;0;0;364;7;105;41;163;54;8;210;161;11;NA;7;7;0;364;NA;7;0;0;0;0
"73";430400;2015;"MUNICIPIO";45;0;0;45;0;11;5;20;7;2;28;17;1;NA;NA;NA;NA;45;NA;NA;NA;NA;NA;NA
"74";430410;2015;"MUNICIPIO";23;0;0;23;0;7;1;14;1;0;13;10;NA;NA;1;1;0;22;NA;1;0;0;0;0
"75";430420;2015;"MUNICIPIO";334;0;0;327;7;107;38;127;59;3;179;155;15;NA;3;3;0;331;NA;3;0;0;0;0
"76";430430;2015;"MUNICIPIO";54;0;0;53;1;24;5;21;4;0;28;26;2;1;2;2;0;52;1;2;0;0;0;0
"77";430435;2015;"MUNICIPIO";46;0;0;43;3;14;5;20;6;1;26;20;6;NA;2;1;1;44;NA;2;0;0;0;0
"78";430440;2015;"MUNICIPIO";266;0;0;261;5;94;19;122;30;1;148;118;16;NA;2;2;0;264;NA;2;0;0;0;0
"79";430450;2015;"MUNICIPIO";447;0;0;437;10;168;48;189;38;4;250;197;18;NA;1;1;0;446;NA;0;0;1;0;0
"80";430460;2015;"MUNICIPIO";2648;0;0;2584;64;659;302;1196;398;93;1398;1249;134;2;40;37;3;2602;1;33;0;3;0;0
"81";430461;2015;"MUNICIPIO";12;0;0;11;1;1;2;6;3;0;9;3;1;NA;NA;NA;NA;12;NA;NA;NA;NA;NA;NA
"82";430462;2015;"MUNICIPIO";15;0;0;15;0;1;4;7;3;0;11;4;1;NA;NA;NA;NA;15;NA;NA;NA;NA;NA;NA
"83";430463;2015;"MUNICIPIO";322;0;0;313;9;108;30;146;26;12;184;138;16;NA;3;3;0;319;NA;2;0;0;0;0
"84";430465;2015;"MUNICIPIO";15;0;0;14;1;3;0;8;4;0;11;4;NA;NA;NA;NA;NA;15;NA;NA;NA;NA;NA;NA
"85";430466;2015;"MUNICIPIO";185;0;0;179;6;46;20;90;27;2;105;80;6;NA;3;3;0;182;NA;2;0;1;0;0
"86";430467;2015;"MUNICIPIO";24;0;0;22;2;6;5;9;4;0;11;13;2;NA;NA;NA;NA;24;NA;NA;NA;NA;NA;NA
"87";430468;2015;"MUNICIPIO";64;0;0;64;0;19;7;29;9;0;35;29;5;NA;NA;NA;NA;64;NA;NA;NA;NA;NA;NA
"88";430469;2015;"MUNICIPIO";20;0;0;20;0;4;1;11;3;1;14;6;NA;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA
"89";430470;2015;"MUNICIPIO";557;0;0;546;11;165;53;246;85;8;290;267;25;NA;13;11;2;544;NA;10;0;3;0;0
"90";430471;2015;"MUNICIPIO";34;0;0;34;0;17;3;11;3;0;22;12;1;NA;NA;NA;NA;34;NA;NA;NA;NA;NA;NA
"91";430480;2015;"MUNICIPIO";151;0;0;150;1;50;26;51;24;0;85;66;1;NA;1;1;0;150;NA;1;0;0;0;0
"92";430485;2015;"MUNICIPIO";7;0;0;7;0;0;2;3;2;0;4;3;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA
"93";430490;2015;"MUNICIPIO";67;0;0;64;3;21;5;31;10;0;36;31;1;NA;1;1;0;66;NA;0;0;1;0;0
"94";430495;2015;"MUNICIPIO";24;0;0;22;2;5;3;12;4;0;16;8;1;NA;NA;NA;NA;24;NA;NA;NA;NA;NA;NA
"95";430500;2015;"MUNICIPIO";90;0;0;85;5;26;10;46;8;0;48;42;5;NA;NA;NA;NA;90;NA;NA;NA;NA;NA;NA
"96";430510;2015;"MUNICIPIO";2691;0;0;2619;72;653;328;1355;308;47;1419;1272;109;1;46;45;1;2645;1;42;2;2;0;0
"97";430511;2015;"MUNICIPIO";20;0;0;20;0;2;4;11;3;0;11;9;NA;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA
"98";430512;2015;"MUNICIPIO";61;0;0;60;1;13;8;30;10;0;34;27;NA;NA;NA;NA;NA;61;NA;NA;NA;NA;NA;NA
"99";430513;2015;"MUNICIPIO";46;0;0;46;0;11;2;23;9;1;25;21;2;NA;NA;NA;NA;46;NA;NA;NA;NA;NA;NA
"100";430515;2015;"MUNICIPIO";19;0;0;19;0;9;2;8;0;0;12;7;1;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA
"101";430517;2015;"MUNICIPIO";64;0;0;63;1;12;6;36;9;1;31;33;5;NA;1;1;0;63;NA;1;0;0;0;0
"102";430520;2015;"MUNICIPIO";90;0;0;88;2;37;8;34;8;3;37;53;2;NA;NA;NA;NA;90;NA;NA;NA;NA;NA;NA
"103";430530;2015;"MUNICIPIO";69;0;0;67;2;16;14;28;9;2;36;33;1;NA;NA;NA;NA;69;NA;NA;NA;NA;NA;NA
"104";430535;2015;"MUNICIPIO";234;0;0;230;4;56;33;116;22;7;138;96;6;NA;1;1;0;233;NA;0;0;0;0;0
"105";430537;2015;"MUNICIPIO";25;0;0;25;0;9;2;10;4;0;10;15;1;NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA
"106";430540;2015;"MUNICIPIO";28;0;0;28;0;11;5;9;3;0;12;16;2;NA;1;1;0;27;NA;1;0;0;0;0
"107";430543;2015;"MUNICIPIO";17;0;0;15;2;5;0;11;1;0;13;4;1;NA;1;1;0;16;NA;1;0;0;0;0
"108";430544;2015;"MUNICIPIO";33;0;0;33;0;9;4;14;6;0;15;18;2;NA;NA;NA;NA;33;NA;NA;NA;NA;NA;NA
"109";430545;2015;"MUNICIPIO";130;0;0;122;8;30;12;69;15;4;81;49;5;NA;1;1;0;128;NA;1;0;0;0;0
"110";430550;2015;"MUNICIPIO";44;0;0;42;2;9;6;20;9;0;25;19;NA;NA;2;2;0;42;NA;1;0;1;0;0
"111";430558;2015;"MUNICIPIO";31;0;0;31;0;8;2;13;7;1;15;16;3;NA;NA;NA;NA;31;NA;NA;NA;NA;NA;NA
"112";430560;2015;"MUNICIPIO";26;0;0;23;3;12;3;10;1;0;15;11;1;NA;1;1;0;25;NA;1;0;0;0;0
"113";430570;2015;"MUNICIPIO";32;0;0;32;0;8;3;15;6;0;20;12;1;NA;NA;NA;NA;32;NA;NA;NA;NA;NA;NA
"114";430580;2015;"MUNICIPIO";65;0;0;65;0;15;8;35;6;1;33;32;8;NA;NA;NA;NA;65;NA;NA;NA;NA;NA;NA
"115";430583;2015;"MUNICIPIO";14;0;0;14;0;3;3;5;3;0;8;6;1;NA;NA;NA;NA;14;NA;NA;NA;NA;NA;NA
"116";430585;2015;"MUNICIPIO";29;0;0;28;1;7;4;13;5;0;17;12;1;NA;NA;NA;NA;29;NA;NA;NA;NA;NA;NA
"117";430587;2015;"MUNICIPIO";26;0;0;25;1;3;5;11;6;1;16;10;1;NA;1;1;0;25;NA;1;0;0;0;0
"118";430590;2015;"MUNICIPIO";52;0;0;52;0;19;4;22;6;1;28;24;2;NA;NA;NA;NA;52;NA;NA;NA;NA;NA;NA
"119";430593;2015;"MUNICIPIO";12;0;0;12;0;3;3;4;2;0;9;3;NA;NA;NA;NA;NA;12;NA;NA;NA;NA;NA;NA
"120";430595;2015;"MUNICIPIO";39;0;0;39;0;12;4;16;7;0;18;21;NA;NA;NA;NA;NA;39;NA;NA;NA;NA;NA;NA
"121";430597;2015;"MUNICIPIO";16;0;0;16;0;7;3;6;0;0;9;7;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;NA
"122";430600;2015;"MUNICIPIO";130;0;0;130;0;21;11;76;21;1;72;58;2;NA;3;3;0;127;NA;3;0;0;0;0
"123";430605;2015;"MUNICIPIO";68;0;0;64;4;15;8;40;4;1;36;32;7;NA;1;1;0;67;NA;0;0;1;0;0
"124";430607;2015;"MUNICIPIO";24;0;0;23;1;5;2;13;4;0;14;10;1;NA;NA;NA;NA;24;NA;NA;NA;NA;NA;NA
"125";430610;2015;"MUNICIPIO";531;0;0;519;12;157;57;242;55;20;285;246;23;NA;6;6;0;525;NA;6;0;0;0;0
"126";430613;2015;"MUNICIPIO";19;0;0;18;1;3;3;9;4;0;14;5;NA;NA;1;1;0;18;NA;1;0;0;0;0
"127";430620;2015;"MUNICIPIO";109;0;0;107;2;27;6;50;25;1;69;40;1;NA;1;1;0;108;NA;1;0;0;0;0
"128";430630;2015;"MUNICIPIO";32;0;0;32;0;6;2;19;5;0;14;18;5;NA;NA;NA;NA;32;NA;NA;NA;NA;NA;NA
"129";430632;2015;"MUNICIPIO";18;0;0;18;0;4;1;7;5;1;10;8;1;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"130";430635;2015;"MUNICIPIO";26;0;0;26;0;10;2;10;4;0;16;10;1;NA;1;1;0;25;NA;1;0;0;0;0
"131";430637;2015;"MUNICIPIO";32;0;0;31;1;8;5;14;5;0;17;15;NA;NA;NA;NA;NA;32;NA;NA;NA;NA;NA;NA
"132";430640;2015;"MUNICIPIO";142;0;0;142;0;35;19;67;16;5;71;71;7;NA;4;4;0;138;NA;4;0;0;0;0
"133";430642;2015;"MUNICIPIO";11;0;0;11;0;3;1;5;2;0;5;6;NA;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;NA
"134";430645;2015;"MUNICIPIO";34;0;0;34;0;11;3;13;7;0;19;15;NA;NA;2;2;0;32;NA;2;0;0;0;0
"135";430650;2015;"MUNICIPIO";113;0;0;106;7;36;12;51;13;1;67;45;6;NA;2;1;1;110;NA;2;0;0;0;0
"136";430655;2015;"MUNICIPIO";23;0;0;23;0;9;0;13;1;0;14;9;1;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA
"137";430660;2015;"MUNICIPIO";363;0;0;360;3;126;50;155;20;12;194;169;15;NA;5;5;0;358;NA;5;0;0;0;0
"138";430670;2015;"MUNICIPIO";34;0;0;33;1;6;5;16;6;1;17;17;3;NA;NA;NA;NA;34;NA;NA;NA;NA;NA;NA
"139";430673;2015;"MUNICIPIO";41;0;0;40;1;10;7;16;8;0;26;15;2;NA;2;2;0;39;NA;2;0;0;0;0
"140";430675;2015;"MUNICIPIO";19;0;0;19;0;6;1;7;5;0;13;6;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA
"141";430676;2015;"MUNICIPIO";192;0;0;187;5;48;18;102;19;5;109;83;11;NA;7;7;0;185;NA;6;0;1;0;0
"142";430680;2015;"MUNICIPIO";153;0;0;152;1;43;18;70;19;3;82;71;4;NA;3;3;0;150;NA;2;0;0;0;0
"143";430690;2015;"MUNICIPIO";242;0;0;237;5;53;31;103;52;3;149;93;7;NA;1;1;0;241;NA;1;0;0;0;0
"144";430692;2015;"MUNICIPIO";11;0;0;11;0;5;2;4;0;0;7;4;NA;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;NA
"145";430693;2015;"MUNICIPIO";82;0;0;81;1;18;7;41;14;2;50;32;2;NA;NA;NA;NA;82;NA;NA;NA;NA;NA;NA
"146";430695;2015;"MUNICIPIO";23;0;0;22;1;3;4;13;1;2;17;6;NA;NA;1;1;0;22;NA;1;0;0;0;0
"147";430697;2015;"MUNICIPIO";28;0;0;28;0;9;2;15;1;1;16;12;1;1;NA;NA;NA;28;1;NA;NA;NA;NA;NA
"148";430700;2015;"MUNICIPIO";637;0;0;625;12;128;71;358;70;10;322;315;23;1;9;9;0;628;NA;9;0;0;0;0
"149";430705;2015;"MUNICIPIO";15;0;0;14;1;2;4;9;0;0;9;6;NA;NA;NA;NA;NA;15;NA;NA;NA;NA;NA;NA
"150";430710;2015;"MUNICIPIO";58;0;0;57;1;13;9;27;9;0;25;33;2;NA;1;1;0;57;NA;1;0;0;0;0
"151";430720;2015;"MUNICIPIO";48;0;0;48;0;23;4;17;4;0;27;21;2;NA;NA;NA;NA;48;NA;NA;NA;NA;NA;NA
"152";430730;2015;"MUNICIPIO";65;0;0;64;1;28;10;19;8;0;27;38;3;NA;NA;NA;NA;65;NA;NA;NA;NA;NA;NA
"153";430740;2015;"MUNICIPIO";21;0;0;21;0;5;4;9;3;0;14;7;1;NA;1;1;0;20;NA;1;0;0;0;0
"154";430745;2015;"MUNICIPIO";23;0;0;23;0;6;5;9;2;1;12;11;1;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA
"155";430750;2015;"MUNICIPIO";138;0;0;134;4;42;9;57;26;4;77;61;6;NA;3;3;0;135;NA;2;0;1;0;0
"156";430755;2015;"MUNICIPIO";45;0;0;45;0;16;4;21;4;0;25;20;1;NA;1;1;0;44;NA;1;0;0;0;0
"157";430760;2015;"MUNICIPIO";243;0;0;239;4;60;26;122;33;2;135;108;11;NA;2;2;0;241;NA;2;0;0;0;0
"158";430770;2015;"MUNICIPIO";532;0;0;516;16;128;55;263;67;19;280;252;17;NA;8;8;0;524;NA;6;0;1;0;0
"159";430780;2015;"MUNICIPIO";251;0;0;241;10;70;29;111;38;3;129;122;8;NA;5;5;0;246;NA;3;1;1;0;0
"160";430781;2015;"MUNICIPIO";23;0;0;23;0;8;5;8;2;0;17;6;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA
"161";430783;2015;"MUNICIPIO";19;0;0;18;1;5;1;10;2;1;11;8;2;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA
"162";430786;2015;"MUNICIPIO";17;0;0;17;0;4;2;10;1;0;9;8;1;NA;2;2;0;15;NA;2;0;0;0;0
"163";430790;2015;"MUNICIPIO";391;0;0;381;10;99;59;175;48;10;201;190;19;2;1;1;0;390;1;1;0;0;0;0
"164";430800;2015;"MUNICIPIO";53;0;0;52;1;25;6;18;2;2;34;19;3;NA;NA;NA;NA;53;NA;NA;NA;NA;NA;NA
"165";430805;2015;"MUNICIPIO";17;0;0;17;0;3;1;10;2;1;8;9;1;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA
